ID_POSLA,DEJANSKA_RABA_DELA_STAVBE,OBCINA,IME_KO,NASELJE,E_CENTROID,N_CENTROID,DATUM_UVELJAVITVE,POGODBENA_CENA_ODSKODNINA,POVRSINA,CENA_M2,STEVILO_SOB,NADSTROPJE_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE
453047,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,POLJANSKO PREDMESTJE,LJUBLJANA,463126.17,101047.65,10.12.2019,102000.0,46.5,2193.548387096774,2.0,,1882
440232,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,SLAPE,LJUBLJANA,467193.22,102013.5,10.09.2019,85000.0,33.6,2529.7619047619046,1.0,,1975
446101,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,SLAPE,LJUBLJANA,465967.69,101584.83,28.10.2019,143000.0,40.0,3575.0,1.0,,1984
442573,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,LJUBLJANA MESTO,LJUBLJANA,461791.5,100848.02,19.09.2019,116000.0,48.0,2416.6666666666665,2.0,,1897
443303,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,ŠENTPETER,LJUBLJANA,463345.82,102012.97,19.09.2019,120000.0,40.8,2941.1764705882356,1.0,,1979
441356,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,ZGORNJA ŠIŠKA,LJUBLJANA,460548.76,103220.94,19.09.2019,150000.0,49.7,3018.1086519114688,2.0,,1963
438300,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,MOSTE,LJUBLJANA,465495.75,101768.01,10.09.2019,77000.0,25.9,2972.972972972973,1.0,,1982
453063,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,ČRNUČE,LJUBLJANA,463312.99,106529.52,10.12.2019,125000.0,36.9,3387.5338753387537,1.0,,1985
455569,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,MOSTE,LJUBLJANA,463855.61,102650.03,11.12.2019,88000.0,23.1,3809.523809523809,1.0,,1958
453109,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,ZGORNJA ŠIŠKA,LJUBLJANA,459880.04,104102.77,10.12.2019,125000.0,29.0,4310.3448275862065,1.0,,1967
454565,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,ZGORNJA ŠIŠKA,LJUBLJANA,460410.94,103423.31,10.12.2019,70000.0,28.2,2482.2695035460993,2.0,,1964
438051,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,ZGORNJA ŠIŠKA,LJUBLJANA,459700.07,103447.59,10.09.2019,82000.0,29.7,2760.942760942761,0.0,,1933
455780,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,NOVE JARŠE,LJUBLJANA,464647.1,103465.42,11.12.2019,105000.0,35.9,2924.791086350975,1.0,,1969
450533,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,SPODNJA ŠIŠKA,LJUBLJANA,460630.78,103031.24,19.11.2019,130000.0,64.1,2028.08112324493,3.0,,1966
440952,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,ZGORNJA ŠIŠKA,LJUBLJANA,460335.24,103454.97,10.09.2019,80000.0,31.3,2555.9105431309904,1.0,,1963
446224,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,ZGORNJA ŠIŠKA,LJUBLJANA,460198.14,103837.08,28.10.2019,85000.0,27.3,3113.5531135531137,1.0,,1965
442831,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,BEŽIGRAD,LJUBLJANA,462653.73,102724.09,19.09.2019,135000.0,52.3,2581.261950286807,2.0,,1967
455145,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,KAŠELJ,LJUBLJANA,468356.49,101152.76,11.12.2019,110000.0,62.3,1765.6500802568219,2.0,,1900
